Time,keypoints,bboxes,bbox_labels,num_push_ups,frame_count,expected_pose,elbow_angle,shoulder_keypoint,elbow_keypoint,wrist_keypoint,filename
15:44:25,"[[[0.24233538 0.29395214]
  [0.2243293  0.25890902]
  [0.22549306 0.26417586]
  [0.2589295  0.17751306]
  [0.26109183 0.18380417]
  [0.3614615  0.14689231]
  [0.37756813 0.24028741]
  [0.38082427 0.42940533]
  [0.4033684  0.45694453]
  [0.354936   0.6866522 ]
  [0.4150322  0.6802468 ]
  [0.68286926 0.23087487]
  [0.66960853 0.2998556 ]
  [0.9243609  0.42658773]
  [0.89651364 0.46612152]
  [0.9851667  0.4917972 ]
  [0.98710746 0.5262796 ]]]",[[0.2243293  0.14689231 0.98710746 0.6866522 ]],['person'],0,1,down,162.8993433175414,"(462, 105)","(487, 309)","(454, 494)",push_ups.mp4
15:44:25,"[[[0.23705828 0.30135942]
  [0.22043692 0.26391017]
  [0.22202298 0.26745546]
  [0.2602413  0.18212457]
  [0.2610197  0.1868578 ]
  [0.36216262 0.15313898]
  [0.37952444 0.24051622]
  [0.38172564 0.42487895]
  [0.4044363  0.45810983]
  [0.35563436 0.6839369 ]
  [0.415266   0.67705137]
  [0.6798311  0.23426762]
  [0.66877323 0.29863974]
  [0.92427146 0.42604005]
  [0.8977582  0.46673784]
  [0.9856556  0.4907036 ]
  [0.9899565  0.53719544]]]",[[0.22043692 0.15313898 0.9899565  0.6839369 ]],['person'],0,2,down,162.68626066524783,"(463, 110)","(488, 305)","(455, 492)",push_ups.mp4
15:44:25,"[[[0.23243935 0.30239385]
  [0.21853107 0.26567206]
  [0.2195712  0.2688367 ]
  [0.25992516 0.18893707]
  [0.26249176 0.19412494]
  [0.3626892  0.1556432 ]
  [0.37967992 0.24140099]
  [0.3830449  0.42254233]
  [0.41468096 0.46665865]
  [0.35454267 0.6851916 ]
  [0.4155242  0.67727363]
  [0.6819829  0.23667356]
  [0.67042613 0.29950273]
  [0.9307423  0.42852336]
  [0.9017677  0.46925977]
  [0.98919183 0.5040769 ]
  [0.9901613  0.5394181 ]]]",[[0.21853107 0.1556432  0.9901613  0.6851916 ]],['person'],0,3,down,161.21155785317282,"(464, 112)","(490, 304)","(453, 493)",push_ups.mp4
15:44:25,"[[[0.23610942 0.31557134]
  [0.21887778 0.27665186]
  [0.22099942 0.28119048]
  [0.25927365 0.19705899]
  [0.2605124  0.20147067]
  [0.36302882 0.1678416 ]
  [0.39013508 0.24144459]
  [0.38110244 0.43591586]
  [0.41327587 0.45969936]
  [0.35356128 0.6839037 ]
  [0.41628167 0.6759082 ]
  [0.68771046 0.26042014]
  [0.6787333  0.3139772 ]
  [0.91643    0.43700966]
  [0.9021845  0.46706405]
  [0.9888389  0.49435177]
  [0.99254936 0.539381  ]]]",[[0.21887778 0.1678416  0.99254936 0.6839037 ]],['person'],0,4,down,162.14055545063772,"(464, 120)","(487, 313)","(452, 492)",push_ups.mp4
15:44:25,"[[[0.23286895 0.32264167]
  [0.21921271 0.28984252]
  [0.22162747 0.29322368]
  [0.25820318 0.21228245]
  [0.25999933 0.21623126]
  [0.36169502 0.18117858]
  [0.38744155 0.2577697 ]
  [0.38304386 0.42547497]
  [0.42374364 0.48388332]
  [0.35219306 0.68718415]
  [0.41502956 0.681912  ]
  [0.6801965  0.26491174]
  [0.6672502  0.31774417]
  [0.91388613 0.43756554]
  [0.899045   0.466289  ]
  [0.9879774  0.49400058]
  [0.9907037  0.5391472 ]]]",[[0.21921271 0.18117858 0.9907037  0.68718415]],['person'],0,5,down,158.94903881027946,"(462, 130)","(490, 306)","(450, 494)",push_ups.mp4
15:44:26,"[[[0.2298298  0.3342632 ]
  [0.214868   0.29928154]
  [0.216186   0.30031323]
  [0.25225723 0.22883555]
  [0.25126657 0.22787422]
  [0.36297676 0.19254099]
  [0.38207245 0.26953036]
  [0.3863306  0.45355424]
  [0.42023832 0.48772535]
  [0.35204983 0.68951285]
  [0.41572365 0.68305457]
  [0.67735445 0.2818942 ]
  [0.6713888  0.3321841 ]
  [0.91196287 0.43418753]
  [0.9008465  0.47972888]
  [0.97695124 0.48820782]
  [0.9870349  0.5417221 ]]]",[[0.214868   0.19254099 0.9870349  0.68951285]],['person'],0,6,down,156.4224377600148,"(464, 138)","(494, 326)","(450, 496)",push_ups.mp4
15:44:26,"[[[0.22338137 0.35631323]
  [0.20830771 0.32189435]
  [0.21049917 0.32410643]
  [0.24903291 0.24459851]
  [0.25123617 0.2516207 ]
  [0.36156207 0.19387476]
  [0.3767237  0.28991374]
  [0.37920868 0.45854738]
  [0.4176259  0.49351147]
  [0.34926432 0.6944375 ]
  [0.40916964 0.6840028 ]
  [0.6748344  0.29310593]
  [0.66748375 0.35293487]
  [0.91287154 0.45168766]
  [0.9047229  0.49515423]
  [0.98989385 0.5337289 ]
  [0.98725367 0.5488483 ]]]",[[0.20830771 0.19387476 0.98989385 0.6944375 ]],['person'],0,7,down,160.46125426117874,"(462, 139)","(485, 330)","(447, 499)",push_ups.mp4
15:44:26,"[[[0.22052404 0.3863985 ]
  [0.20653157 0.35420638]
  [0.20852669 0.35751805]
  [0.24385843 0.27572787]
  [0.24314578 0.28183556]
  [0.3513671  0.2086886 ]
  [0.373591   0.3052693 ]
  [0.37811452 0.46337342]
  [0.42444426 0.50315934]
  [0.35102755 0.69271886]
  [0.41498128 0.6843371 ]
  [0.6669845  0.3112713 ]
  [0.6627568  0.36092055]
  [0.914459   0.46520683]
  [0.9062314  0.4933361 ]
  [0.98882085 0.53445494]
  [0.989051   0.55550283]]]",[[0.20653157 0.2086886  0.989051   0.69271886]],['person'],0,8,down,157.83146063021,"(449, 150)","(483, 333)","(449, 498)",push_ups.mp4
15:44:26,"[[[0.21548401 0.4112377 ]
  [0.20216487 0.3772752 ]
  [0.20150793 0.3843397 ]
  [0.2310058  0.30689356]
  [0.23190859 0.31672826]
  [0.34727415 0.24021737]
  [0.37424684 0.31281707]
  [0.38013878 0.4857624 ]
  [0.4258833  0.52392554]
  [0.3518961  0.69702494]
  [0.41728777 0.68532383]
  [0.6570051  0.33433113]
  [0.6465851  0.38205993]
  [0.91676736 0.4728855 ]
  [0.89182866 0.511846  ]
  [0.9799556  0.516671  ]
  [0.9880898  0.55455184]]]",[[0.20150793 0.24021737 0.9880898  0.69702494]],['person'],0,9,down,153.32674162482184,"(444, 172)","(486, 349)","(450, 501)",push_ups.mp4
15:44:26,"[[[0.21778703 0.44814795]
  [0.20440237 0.41942176]
  [0.20529763 0.421829  ]
  [0.231982   0.34461597]
  [0.23192704 0.34988454]
  [0.34894606 0.27996016]
  [0.37568927 0.30517405]
  [0.37594125 0.50054944]
  [0.4298723  0.5064846 ]
  [0.3470013  0.70051044]
  [0.42027044 0.67809445]
  [0.65519875 0.3671784 ]
  [0.649295   0.3957169 ]
  [0.91695815 0.48818386]
  [0.9012496  0.5126632 ]
  [0.9813534  0.5174385 ]
  [0.98429507 0.5424908 ]]]",[[0.20440237 0.27996016 0.98429507 0.70051044]],['person'],0,10,down,153.17559787405867,"(446, 201)","(481, 360)","(444, 504)",push_ups.mp4
